STD_YM|GU_CD|DONG_CD|MCT_CAT_CD|DAY_CD|USE_CNT|USE_AMT
201601|65|101|01|01|914|37910721
201601|65|101|01|02|343|12191094
201601|65|101|01|03|400|16122078
201601|65|101|01|04|426|19893142
201601|65|101|01|05|489|19934581
201601|65|101|01|06|662|31673502
201601|65|101|01|07|989|47772055
201601|65|101|02|01|10|3349987
201601|65|101|02|02|10|1941975
201601|65|101|02|03|19|3500624
201601|65|101|02|04|14|1534800
201601|65|101|02|05|25|5139966
201601|65|101|02|06|38|9133892
201601|65|101|02|07|29|2117332
201601|65|101|03|01|674|24920853
201601|65|101|03|02|291|13554722
201601|65|101|03|03|285|12578051
201601|65|101|03|04|272|10369287
201601|65|101|03|05|362|14521442
201601|65|101|03|06|453|18103111
201601|65|101|03|07|630|24836956
201601|65|101|04|01|6126|239731978
201601|65|101|04|02|4873|344915801
201601|65|101|04|03|4484|240293099
201601|65|101|04|04|4679|268738901
201601|65|101|04|05|4403|243470481
201601|65|101|04|06|5867|309229557
201601|65|101|04|07|7165|294625463
201601|65|101|05|01|1121|45747005
201601|65|101|05|02|571|39577973
201601|65|101|05|03|868|64472065
201601|65|101|05|04|804|48688854
201601|65|101|05|05|1026|62259991
201601|65|101|05|06|1574|104287326
201601|65|101|05|07|1944|122587845
201601|65|101|06|01|925|56596295
201601|65|101|06|02|813|49991987
201601|65|101|06|03|747|70478340
201601|65|101|06|04|722|42805218
201601|65|101|06|05|842|44872007
201601|65|101|06|06|942|49659103
201601|65|101|06|07|1287|94554602
201601|65|101|07|01|945|167066157
201601|65|101|07|02|210|93440425
201601|65|101|07|03|256|107687907
201601|65|101|07|04|212|36446322
201601|65|101|07|05|304|172533163
201601|65|101|07|06|316|64057789
201601|65|101|07|07|968|188436487
201601|65|101|08|01|15964|670683438
201601|65|101|08|02|16474|704102558
201601|65|101|08|03|16851|1736814566
201601|65|101|08|04|16961|732294887
201601|65|101|08|05|17323|846249848
201601|65|101|08|06|20011|870638978
201601|65|101|08|07|18527|786803003
201601|65|101|09|01|33|1279126
201601|65|101|09|02|43|3980582
201601|65|101|09|03|98|5758128
201601|65|101|09|04|69|3256862
201601|65|101|09|05|68|2576215
201601|65|101|09|06|79|3119967
201601|65|101|09|07|21|17135010
201601|65|101|11|01|4674|74676075
201601|65|101|11|02|7107|104483987
201601|65|101|11|03|6990|109107316
201601|65|101|11|04|6868|123664020
201601|65|101|11|05|7469|212325390
201601|65|101|11|06|7660|270759396
201601|65|101|11|07|5548|87832641
201601|65|101|12|01|28|3969073
201601|65|101|12|02|52|16102513
201601|65|101|12|03|57|32163733
201601|65|101|12|04|68|8263853
201601|65|101|12|05|73|21619665
201601|65|101|12|06|90|23219668
201601|65|101|12|07|70|16516905
201601|65|101|13|01|47520|941562383
201601|65|101|13|02|43035|827004535
201601|65|101|13|03|41863|776174083
201601|65|101|13|04|42945|780228565
201601|65|101|13|05|41471|810423394
201601|65|101|13|06|51215|958216215
201601|65|101|13|07|52554|1010479251
201601|65|101|15|01|61278|365464267
201601|65|101|15|02|60671|326882779
201601|65|101|15|03|61170|333336166
201601|65|101|15|04|62765|336979462
201601|65|101|15|05|62794|337468722
201601|65|101|15|06|78552|442860383
201601|65|101|15|07|67000|398880407
201601|65|101|16|01|3013|173036711
201601|65|101|16|02|2407|164253392
201601|65|101|16|03|2784|231779811
201601|65|101|16|04|2593|185260356
201601|65|101|16|05|2839|195065459
201601|65|101|16|06|3722|243504752
201601|65|101|16|07|3514|195014874
201601|65|101|17|01|51|534774
201601|65|101|17|02|109|4006517
201601|65|101|17|03|134|2377547
201601|65|101|17|04|121|776128
201601|65|101|17|05|169|5518074
201601|65|101|17|06|225|4672504
201601|65|101|17|07|160|1906324
201601|65|101|18|01|414|46694706
201601|65|101|18|02|561|74848083
201601|65|101|18|03|523|96187278
201601|65|101|18|04|537|110958456
201601|65|101|18|05|559|136459526
201601|65|101|18|06|527|78660239
201601|65|101|18|07|624|84432522
201601|65|101|19|01|93|9725094
201601|65|101|19|02|89|12307200
201601|65|101|19|03|82|5145561
201601|65|101|19|04|89|12571305
201601|65|101|19|05|103|20848274
201601|65|101|19|06|139|15004138
201601|65|101|19|07|91|11619150
201601|65|101|20|01|1187|30188262
201601|65|101|20|02|1702|139618336
201601|65|101|20|03|1409|131275770
201601|65|101|20|04|1266|148037576
201601|65|101|20|05|1524|191831977
201601|65|101|20|06|1563|191652890
201601|65|101|20|07|1380|43426320
201601|65|101|21|01|799|15397615
201601|65|101|21|02|3529|183187817
201601|65|101|21|03|3665|240605163
201601|65|101|21|04|3609|342690746
201601|65|101|21|05|3359|176725501
201601|65|101|21|06|3228|160987836
201601|65|101|21|07|1937|43437788
201601|65|101|22|01|656|233916013
201601|65|101|22|02|1740|683889578
201601|65|101|22|03|1574|574170515
